CaseID,Cruisedbefore,Howmany,Intend,Abiltravel,Abilspend,Motivation_1,Motivation_2,Motivation_3,Motivation_4,Motivation_5,Motivation_6,Motivation_7,Motivation_8,TopDestination,TopCruiseline,TopLength,Demos1,Demos2,Demos3
372,2,0,2,2,3,1,1,0,0,0,1,1,0,6,3,4,1,2,3
373,2,0,2,2,2,1,0,0,0,0,1,1,0,3,2,1,3,2,5
374,2,0,2,1,2,1,1,0,0,0,1,1,0,4,6,1,1,3,5
376,1,2,2,1,2,1,0,1,1,0,0,1,0,5,5,4,2,2,5
377,1,1,3,2,3,1,0,0,0,0,1,0,1,4,4,4,2,2,5
378,1,4,1,1,2,0,1,0,0,1,1,0,1,5,1,1,6,2,6
379,1,1,2,2,2,0,1,0,0,1,1,1,0,4,3,4,5,2,3
380,1,5,3,2,3,0,1,0,0,0,1,1,0,4,2,1,3,2,2
381,1,2,2,2,1,1,0,1,1,0,0,1,0,2,4,2,1,5,2
382,2,0,1,2,2,1,1,1,0,0,1,0,0,3,3,1,1,2,4
383,2,0,2,3,2,1,0,0,0,0,0,0,0,4,5,5,4,2,2
384,2,0,1,3,2,0,1,0,0,1,1,0,1,3,3,1,1,3,5
385,2,0,1,2,2,1,0,0,0,0,1,1,1,3,6,1,5,5,7
387,1,1,3,1,2,0,1,1,1,0,1,0,0,4,2,1,5,2,3
388,1,1,2,2,3,1,1,0,0,0,1,1,0,2,4,1,1,2,6
390,2,0,3,3,3,1,1,1,1,0,0,0,0,2,6,1,1,2,5
392,1,5,1,1,2,1,0,0,1,1,1,0,0,5,5,5,5,2,4
394,2,0,1,2,1,1,0,0,1,0,1,1,0,2,2,1,1,2,6
395,2,0,3,1,1,0,0,0,0,0,1,0,0,3,3,1,1,2,5
397,1,2,1,2,3,0,1,1,0,0,1,1,0,2,6,1,4,2,2
399,1,2,3,2,2,0,0,0,0,0,1,0,0,3,1,1,5,2,3
400,1,1,3,2,3,1,0,1,0,0,1,0,1,6,3,1,2,4,3
401,2,0,2,2,2,1,0,1,0,0,0,1,0,5,1,1,1,2,2
402,2,0,3,2,2,1,1,1,0,0,1,0,0,2,2,1,6,2,3
403,1,4,1,1,1,0,1,0,0,1,1,1,0,3,3,5,4,2,5
405,1,3,2,2,2,1,0,1,0,1,1,0,0,4,3,1,1,2,6
406,2,0,2,2,2,1,0,0,1,0,1,0,0,4,4,1,5,2,4
408,2,0,3,2,2,1,0,0,1,0,1,1,0,6,1,4,5,2,5
412,1,1,1,2,1,1,0,1,1,0,1,0,0,6,6,1,1,2,5
414,1,3,1,1,3,1,0,0,0,0,1,0,0,5,2,2,1,5,6
415,1,2,2,1,2,0,0,0,0,0,0,0,0,3,3,2,5,2,6
419,1,5,1,1,1,1,0,0,1,1,0,1,0,6,5,5,5,4,5
420,1,2,3,2,2,1,0,0,1,0,1,1,0,3,6,1,5,1,5
